Cloud Functions	Event-driven serverless functions
App Engine	Managed app platform
Cloud Run	Serverless for containerized applications
Kubernetes Engine (GKE)	Managed Kubernetes/containers
Compute Engine	VMs, GPUs, TPUs, Disks
Bare Metal Solution	Hardware for specialized workloads
Preemptible VMs	Short-lived compute instances  
Shielded VMs	Hardened VMs
Sole-tenant Nodes	Dedicated physical servers
VMware Engine	VMware as a service
Cloud Filestore	Managed NFS server
Cloud Storage	Multi-class multi-region object storage
Persistent Disk	Block storage for VMs
Local SSD	VM locally attached SSDs
Cloud Bigtable	Petabyte-scale, low-latency, non-relational
Cloud Firestore	Serverless NoSQL document DB and sync
Cloud Memorystore	Managed Redis and Memcached
Cloud Spanner	Horizontally scalable relational DB
Cloud SQL	Managed MySQL, PostgreSQL, SQL Server
Database Migration Service	Migrate to Cloud SQL
Cloud SQL Insights	SQL Inspector
BigQuery	Data warehouse/analytics
BigQuery BI Engine	In-memory analytics engine
BigQuery ML	BigQuery model training/serving
Cloud Composer	Managed workflow orchestration service
Cloud Data Fusion	Graphically manage data pipelines
Cloud Dataflow	Stream/batch data processing
Cloud Dataprep	Visual data wrangling
Cloud Dataproc	Managed Spark and Hadoop
Cloud Pub/Sub	Global real-time messaging
Data Catalog	Metadata management service
Data Studio	Collaborative data exploration/dashboarding
Looker	Enterprise BI and Analytics
Anthos	Enterprise hybrid/multi-cloud platform
Anthos Clusters	Hybrid/on-prem Kubernetes Engine
Anthos Config Management	Policy and security automation
Anthos Service Mesh	Managed service mesh (Istio)
Cloud Run for Anthos	Serverless development for Anthos
Google Cloud Marketplace for Anthos	Pre-configured containerized apps
Migrate for Anthos	Migrate VMs to Kubernetes Engine (Containers)
Operations	Monitoring, logging, troubleshooting
Cloud Build	Continuous integration/delivery platform
Apigee API Management	API management, development, security
AI Platform Data Labeling	Data labeling by humans
AI Platform Deep Learning VMs	Preconfigured VMs for deep learning
AI Platform Deep Learning Containers	Preconfigured containers for deep learning
AI Platform Notebooks	Managed JupyterLab notebook instances
AI Platform Pipelines	Hosted ML workflows
AI Platform Predictions	Autoscaled model serving
AI Platform Training	Distributed AI training
AI Platform	Managed platform for ML
AutoML Natural Language	Custom text models
AutoML Tables	Custom structured data models
AutoML Translation	Custom domain-specific translation
AutoML Video Intelligence	Custom video annotation models
AutoML Vision	Custom image models
Cloud Natural Language API	Text parsing and analysis
Cloud Speech-To-Text API	Convert audio to text
Cloud Talent Solutions API	Job search with ML
Cloud Text-To-Speech API	Convert text to audio
Cloud TPU	Hardware acceleration for ML
Cloud Translation API	Language detection and translation
Cloud Video Intelligence API	Scene-level video annotation
Cloud Vision API	Image recognition and classification
Contact Center AI	AI in your contact center
Dialogflow	Create conversational interfaces
Document AI	Analyze, classify, search documents
Explainable AI	Understand ML model predictions
Recommendations AI	Create custom recommendations
Vision Product Search	Visual search for products
Carrier Peering	Peer through a carrier
Direct Peering	Peer with GCP
Dedicated Interconnect	Dedicated private network connection
Partner Interconnect	Connect on-prem network to VPC
Cloud Armor	DDoS protection and WAF
Cloud CDN	Content delivery network
Cloud DNS	Programmable DNS serving
Cloud Load Balancing	Multi-region load distribution/balancing
Cloud NAT	Network address translation service
Cloud Router	VPC/on-prem network route exchange (BGP)
Cloud VPN (HA)	VPN (Virtual private network connection)
Network Service Tiers	Price vs performance tiering
Network Telemetry	Network telemetry service
Traffic Director	Service mesh traffic management
Google Cloud Service Mesh	Service-aware network management
Virtual Private Cloud	Software defined networking
Network Intelligence Center	Network monitoring and topology
Cloud IoT Core	Manage devices, ingest data
Google Cloud Game Servers	Orchestrate Agones clusters
Access Transparency	Audit cloud provider access
Assured Workloads	Workload compliance controls
Binary Authorization	Kubernetes deploy-time security
Certificate Authority Service	Managed private CAs
Cloud Asset Inventory	All assets, one place
Cloud Audit Logs	Audit trails for GCP
Cloud DLP	Classify and redact sensitive data
Cloud HSM	Hardware security module service
Cloud EKM	External keys you control
Cloud IAM	Resource access control
Cloud Identity	Manage users, devices & apps
Cloud Identity-Aware Proxy	Identity-based app access
Cloud KMS	Hosted key management service
Cloud Resource Manager	Cloud project metadata management
Security Command Center	Security management and data risk platform
Cloud Security Scanner	App engine security scanner
Confidential Computing	Encrypt data in-use
Context-aware Access	End-user attribute-based access control
Event Threat Detection	Scans for suspicious activity
Managed Service for Microsoft Active Directory	Managed Microsoft Active Directory
Secret Manager	Store and manage secrets
Security Key Enforcement	Two-step key verification
Titan Security Key	Two-factor authentication (2FA) device
VPC Service Controls	VPC data constraints and Security perimeters for API-based services
Cloud APIs	APIs for cloud services
Cloud Billing API	Programmatically manage GCP billing
Cloud Billing	Billing and cost management tools
Cloud Console	Web-based management console
Cloud Deployment Manager	Templated infrastructure deployment
Cloud Mobile App	iOS/Android GCP manager app
